gene_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene_name,gene_type,regulation
ENSG00000183010,3714.3309646918733,3.718950431883681,0.12876623534052167,28.881409960063944,2.044118442244489e-183,5.390340332198717e-179,PYCR1,protein_coding,Up
ENSG00000147689,6381.426394885395,6.811767716049967,0.23642135548302967,28.811981481676753,1.5182597444592916e-182,2.0018254730695758e-178,FAM83A,protein_coding,Up
ENSG00000175832,2053.412680223157,3.8957956704564953,0.15538603661669487,25.07172301502622,1.0120508236824392e-138,6.67194505512648e-135,ETV4,protein_coding,Up
ENSG00000162062,275.2511916836989,3.548387234511471,0.1422494763728867,24.944817548641655,2.4306005148816015e-137,1.2818987115485567e-133,TEDC2,protein_coding,Up
ENSG00000272620,2802.560573094847,6.3064487990445866,0.26135727011293924,24.129609236886377,1.222538830486548e-128,3.6384365561714867e-125,AFAP1-AS1,lncRNA,Up
ENSG00000183856,1362.963251866403,3.6182495877829868,0.15119132815747532,23.931594701082005,1.4367446043310289e-126,3.788695521620923e-123,IQGAP3,protein_coding,Up
ENSG00000131747,5337.599001171485,3.859814793694266,0.1621884825034656,23.79832855031362,3.475544282625227e-125,7.637508561068936e-122,TOP2A,protein_coding,Up
ENSG00000179913,2144.0728915015425,4.374555181713639,0.18402579480992343,23.771423925825342,6.598230187878906e-125,1.3384256158028213e-121,B3GNT3,protein_coding,Up
ENSG00000204949,199.7318775880996,6.542023289237678,0.27579549937002945,23.720558544939752,2.2126696807944382e-124,4.167721391610667e-121,FAM83A-AS1,lncRNA,Up
ENSG00000186193,461.2003314871915,3.836931735257197,0.16370003403444247,23.43879619750053,1.7198148947510908e-121,3.0234345849724175e-118,SAPCD2,protein_coding,Up
ENSG00000286042,1317.4908923680423,7.864010626831405,0.342731025533023,22.945137851471483,1.647744517519539e-116,1.975046496681375e-113,LCAL1,lncRNA,Up
ENSG00000077152,833.4270285559697,3.313337460911325,0.14453809311372642,22.92362787922145,2.701101605634157e-116,2.899520821665029e-113,UBE2T,protein_coding,Up
ENSG00000128165,767.5972978221604,3.4938752705145966,0.15301272151960563,22.833887508280963,2.113045753763269e-115,2.063741352842126e-112,ADM2,protein_coding,Up
ENSG00000090889,853.1633064606287,3.826692122260222,0.1679081979880671,22.790382888464904,5.711396037986047e-115,5.378911197203288e-112,KIF4A,protein_coding,Up
ENSG00000164855,1945.4611192121001,3.1652437896416923,0.13994506781383964,22.617758804134652,2.898335996391593e-113,2.5476373408282102e-110,TMEM184A,protein_coding,Up
ENSG00000254726,1346.0409641078504,4.2040505564467585,0.18592754913810242,22.61122989000459,3.3604418097786746e-113,2.8585435652859244e-110,MEX3A,protein_coding,Up
ENSG00000143320,8023.357544144394,5.579639208245892,0.25013632262754754,22.30639336836323,3.203049233557747e-110,2.2828218456464268e-107,CRABP2,protein_coding,Up
ENSG00000123485,694.1372215308852,3.853874497115399,0.1734485859884974,22.219117412528092,2.244372596549667e-109,1.5574764571319662e-106,HJURP,protein_coding,Up
ENSG00000117650,681.9811049818353,3.7334016945186987,0.16831472191418947,22.181076331647734,5.231240120441175e-109,3.53712312759061e-106,NEK2,protein_coding,Up
ENSG00000137648,5370.024871473706,4.809644460180067,0.21754267471077302,22.108969959915115,2.5911544237040677e-108,1.7082185538269067e-105,TMPRSS4,protein_coding,Up
ENSG00000276043,687.0824416890573,3.3501455048814908,0.15193474538814397,22.049897120786664,9.574113353177316e-108,6.157789490811849e-105,UHRF1,protein_coding,Up
ENSG00000117399,1555.0560704432417,3.789753319840692,0.17191414172557362,22.04445359643694,1.0797592195050967e-107,6.779345385321286e-105,CDC20,protein_coding,Up
ENSG00000158402,197.67869760779416,3.68841078846602,0.16739023170929715,22.03480305154007,1.3362518687032728e-107,8.194642273884955e-105,CDC25C,protein_coding,Up
ENSG00000118193,434.4407046972283,3.7275413537857816,0.16923274353678142,22.026123762365344,1.618451301092704e-107,9.699672911321503e-105,KIF14,protein_coding,Up
ENSG00000066279,943.3412023535839,3.6621518048743487,0.16733662368226507,21.884939018657136,3.614938289738024e-106,2.0723026673998194e-103,ASPM,protein_coding,Up
ENSG00000099953,6163.228462603431,5.48437816391314,0.2512694922810976,21.826677461415468,1.2949832934941368e-105,7.265682861583061e-103,MMP11,protein_coding,Up
ENSG00000135052,13218.01566751248,2.639110532293827,0.1212583830367251,21.764355306424697,5.051518217485519e-105,2.775177820731107e-102,GOLM1,protein_coding,Up
ENSG00000175063,1725.7656474931491,4.2065833142598565,0.19383092068739916,21.70233365936503,1.9501052837717184e-104,1.0494750272053104e-101,UBE2C,protein_coding,Up
ENSG00000144452,569.5880648810585,5.342980910779136,0.24638268859831253,21.68569935321231,2.799698744103077e-104,1.476561117639963e-101,ABCA12,protein_coding,Up
ENSG00000186185,579.703901010323,3.80168499018207,0.17596547687752462,21.604720753424356,1.6216609627939524e-103,7.919111034977134e-101,KIF18B,protein_coding,Up
ENSG00000117724,2317.294081472431,3.4655583794920806,0.16053193953625286,21.587968036164263,2.3303554042532483e-103,1.1172994910937846e-100,CENPF,protein_coding,Up
ENSG00000142945,942.305648315852,3.580884085588679,0.16590037229410481,21.58454520668923,2.5094528898170096e-103,1.1816834411513311e-100,KIF2C,protein_coding,Up
ENSG00000164932,3041.202080806938,3.7387661319871333,0.1734993385986711,21.54916648204312,5.390866076194866e-103,2.4939848847238356e-100,CTHRC1,protein_coding,Up
ENSG00000126787,730.5553410938761,3.6712636999062993,0.1704014703120025,21.544788863524893,5.925308794300617e-103,2.6939722914777114e-100,DLGAP5,protein_coding,Up
ENSG00000080031,728.8166949011904,5.179957640275927,0.2404827799965825,21.539827676432964,6.595169863675615e-103,2.947705581442813e-100,PTPRH,protein_coding,Up
ENSG00000123500,2687.167231702976,4.575797132838784,0.21247746770774265,21.535446474412417,7.249270436304745e-103,3.185789855614676e-100,COL10A1,protein_coding,Up
ENSG00000143228,559.9474858065341,3.6949340400456494,0.17158059849851492,21.534684412921138,7.369479757015368e-103,3.185789855614676e-100,NUF2,protein_coding,Up
ENSG00000135451,555.7685465817751,3.8291632993085485,0.17816379002986252,21.492376754371534,1.8347482544544828e-102,7.803598624187857e-100,TROAP,protein_coding,Up
ENSG00000011426,2022.0188430828623,3.766876561023061,0.17535333104262318,21.481636753780545,2.312144482131487e-102,9.677976189493224e-100,ANLN,protein_coding,Up
ENSG00000094804,972.1462541921376,3.437177908438095,0.1604381210258586,21.423698348375122,8.034927179606056e-102,3.2597081496340263e-99,CDC6,protein_coding,Up
ENSG00000112984,865.581704678136,3.164903956916819,0.1479488476571547,21.391879741104333,1.590198369062834e-101,6.3535653018465044e-99,KIF20A,protein_coding,Up
ENSG00000187583,333.08552055267273,3.1561795483630593,0.1476967438811792,21.369323828169016,2.5783977175264706e-101,1.0148111613607915e-98,PLEKHN1,protein_coding,Up
ENSG00000076382,1159.2273932341204,3.102097591893136,0.14597798202198686,21.250448519187675,3.2653158612238827e-100,1.2479185400068664e-97,SPAG5,protein_coding,Up
ENSG00000166851,918.2292566694772,3.2125632840856597,0.15143736667814925,21.213808418323463,7.120813307919299e-100,2.682512098997599e-97,PLK1,protein_coding,Up
ENSG00000227066,474.507802096795,6.029764590370437,0.2843020593520247,21.209007785991243,7.885892843515443e-100,2.9288872434296087e-97,Z98257.1,lncRNA,Up
ENSG00000196584,296.528370835854,3.219545259978544,0.15188301450275424,21.19753331548579,1.0063454886249082e-99,3.685740352088726e-97,XRCC2,protein_coding,Up
ENSG00000186871,203.7050730594218,3.2674189695201994,0.1542126705738039,21.187746489069852,1.2388628444923926e-99,4.475179891680054e-97,ERCC6L,protein_coding,Up
ENSG00000156970,531.2348254099073,3.426858491097263,0.1617760564226723,21.182729798678675,1.3781050952065393e-99,4.845417514746192e-97,BUB1B,protein_coding,Up
ENSG00000262772,106.16467242699471,4.805092819157306,0.22683394974708837,21.183305340822265,1.3613688033086336e-99,4.845417514746192e-97,LINC01977,lncRNA,Up
ENSG00000019186,4342.00642301457,6.741462018861598,0.31840990532431945,21.17227481348301,1.7204939252403875e-99,5.96966115902487e-97,CYP24A1,protein_coding,Up
ENSG00000088325,2516.500395165556,3.6500216373616543,0.17307572010077246,21.08916048557503,1.0002076618829987e-98,3.3814712876736767e-96,TPX2,protein_coding,Up
ENSG00000164093,339.3210597727209,8.25564051890448,0.39166392462928257,21.078378680698258,1.2561328491760913e-98,4.140527904096691e-96,PITX2,protein_coding,Up
ENSG00000174371,421.7116763585603,3.5909012875445185,0.17038521027525158,21.075193567232382,1.3435565450603174e-98,4.3740229744741445e-96,EXO1,protein_coding,Up
ENSG00000165304,688.9212137206994,3.6081965428349916,0.1713088710276891,21.062520120465855,1.7558167208524678e-98,5.646449625473118e-96,MELK,protein_coding,Up
ENSG00000129173,335.32748459494996,3.1733648339793565,0.1509699159989096,21.01984897442929,4.3180525353761115e-98,1.3718921127453983e-95,E2F8,protein_coding,Up
ENSG00000089685,1806.6332149251361,3.686007805203969,0.1753805164265661,21.01720236835626,4.5656350189322317e-98,1.4332832791576543e-95,BIRC5,protein_coding,Up
ENSG00000166923,2609.1119074616445,4.967431651037534,0.23663513599993113,20.991944539626523,7.77011240560282e-98,2.3825333039040276e-95,GREM1,protein_coding,Up
ENSG00000060718,2988.990486593459,6.167149690820263,0.294287921909697,20.956176695259238,1.6480522645628613e-97,4.938538433695757e-95,COL11A1,protein_coding,Up
ENSG00000035499,330.06748261009466,3.605176685115987,0.17214182001025274,20.943061278783176,2.1705494703370503e-97,6.431167363234609e-95,DEPDC1B,protein_coding,Up
ENSG00000091651,342.30549839616134,3.055277604948121,0.1462593538295034,20.889450998872196,6.678264853281379e-97,1.9352290569343953e-94,ORC6,protein_coding,Up
ENSG00000162849,2065.0698955842104,3.1199931714928595,0.14950669098083694,20.86858555308916,1.0334657388818671e-96,2.962227340686395e-94,KIF26B,protein_coding,Up
ENSG00000137135,261.5447961366005,2.739078170678883,0.13173998443796542,20.791547701819244,5.161891439117943e-96,1.448075289888725e-93,ARHGEF39,protein_coding,Up
ENSG00000024526,419.88869319126115,3.7456671175976863,0.18016391644397137,20.790329115444937,5.294650482308661e-96,1.4696835075629408e-93,DEPDC1,protein_coding,Up
ENSG00000160957,917.9062994439132,3.053945553316714,0.1469364172812471,20.78412969244539,6.024669743815813e-96,1.6549014702544062e-93,RECQL4,protein_coding,Up
ENSG00000230316,335.83837395846695,6.18002450275807,0.29771655894977,20.758081191583127,1.0362226723348336e-95,2.8170300896360373e-93,FEZF1-AS1,lncRNA,Up
ENSG00000134690,870.725072781174,3.0656870314325295,0.14854235915759426,20.638470055400326,1.2392339070163196e-94,3.3345508293898314e-92,CDCA8,protein_coding,Up
ENSG00000173227,1363.6915248503512,5.723134525630045,0.2774564509266174,20.627145292591226,1.5662768149737775e-94,4.171991879884698e-92,SYT12,protein_coding,Up
ENSG00000203995,138.68440707558148,5.391833070121396,0.262524207650435,20.5384224120806,9.76842896691233e-94,2.5504304144304766e-91,ZYG11A,protein_coding,Up
ENSG00000059573,4958.410812464865,1.6206957470078804,0.07891889460614135,20.536219559286128,1.0221599757577685e-93,2.642584172620819e-91,ALDH18A1,protein_coding,Up
ENSG00000173898,3035.4490464893697,2.5213911326999203,0.12315071172084574,20.474028103185734,3.669958065164636e-93,9.216837540799186e-91,SPTBN2,protein_coding,Up
ENSG00000111344,498.76780716804274,4.048789733309292,0.1980001564634225,20.448416837777817,6.205672687953095e-93,1.543807441333237e-90,RASAL1,protein_coding,Up
ENSG00000243364,759.0355306070471,2.2092774985340387,0.10804804929753486,20.447176167431685,6.365502564319895e-93,1.5687691833749125e-90,EFNA4,protein_coding,Up
ENSG00000061656,698.0736343184112,2.8997333308942213,0.14189477686488197,20.4358003512382,8.036435776222159e-93,1.9622297353609103e-90,SPAG4,protein_coding,Up
ENSG00000138180,1026.4213369848303,3.2543099983334134,0.15978236833626458,20.36714083173849,3.2723395608668e-92,7.916660020188763e-90,CEP55,protein_coding,Up
ENSG00000101003,682.7672418132391,3.037975855867459,0.14921825490528207,20.359277474433995,3.8420754226088666e-92,9.210502626745073e-90,GINS1,protein_coding,Up
ENSG00000142273,893.9906624488843,3.231432994240168,0.1588412165741355,20.343794034918957,5.2692162776921027e-92,1.2517948940787456e-89,CBLC,protein_coding,Up
ENSG00000166143,607.1205633639667,6.006060383328762,0.29528193666719205,20.34008734539731,5.6829146560712525e-92,1.3380219596482049e-89,PPP1R14D,protein_coding,Up
ENSG00000111665,481.8800329950505,3.300094209839779,0.16270816095255952,20.282290639385817,1.8434354103487066e-91,4.2270775452952514e-89,CDCA3,protein_coding,Up
ENSG00000106462,923.9642255017022,2.547490033021006,0.1263306950991771,20.16524987075449,1.9774552031576178e-90,4.381974261114822e-88,EZH2,protein_coding,Up
ENSG00000172927,940.4116170761034,6.328339041967495,0.3141083175742468,20.146996077146685,2.8594739999947684e-90,6.283694114988504e-88,MYEOV,protein_coding,Up
ENSG00000118322,730.4232866123798,5.499014729638386,0.2733396740486533,20.117879882521503,5.146191145361363e-90,1.1215294256461084e-87,ATP10B,protein_coding,Up
ENSG00000123473,570.1463773996117,2.5312357759897077,0.12586698261185789,20.110403248446833,5.98354276971337e-90,1.2933280560437832e-87,STIL,protein_coding,Up
ENSG00000170373,756.0303259490856,6.8421041322637,0.34032224913344783,20.104780541635293,6.701626026455932e-90,1.4367632383548205e-87,CST1,protein_coding,Up
ENSG00000134057,1818.9256124206715,2.974922577807627,0.14801028012271655,20.09943211607392,7.464284423835765e-90,1.5873643569076542e-87,CCNB1,protein_coding,Up
ENSG00000205213,3068.3434194341585,2.660825536262353,0.13257589235270634,20.070206498655608,1.3444482482533103e-89,2.8362480245151834e-87,LGR4,protein_coding,Up
ENSG00000029993,13014.384452732214,3.520956112455709,0.17581410267722433,20.02658523315279,3.230655986355433e-89,6.604061888387037e-87,HMGB3,protein_coding,Up
ENSG00000075218,482.82394213614003,3.1152484186557747,0.15575404011900706,20.0010761600502,5.3896894377360354e-89,1.0932777728699942e-86,GTSE1,protein_coding,Up
ENSG00000176920,1035.1693393344394,3.1939506815141128,0.1598693353759309,19.9785072853626,8.471929681269419e-89,1.692460497689959e-86,FUT2,protein_coding,Up
ENSG00000165480,314.58872583228765,3.2095849304679276,0.16082873637478878,19.95653887989545,1.3151130274265353e-88,2.6074834987396795e-86,SKA3,protein_coding,Up
ENSG00000144120,512.0713961605809,1.5913376506344303,0.07974729315364447,19.954754421175057,1.362909318547247e-88,2.6820834873202167e-86,TMEM177,protein_coding,Up
ENSG00000085552,1261.3819760294728,3.271192345098986,0.1639448245349159,19.9530076925503,1.4113726464134102e-88,2.7568812359941948e-86,IGSF9,protein_coding,Up
ENSG00000183317,529.3606600150442,3.6375365157973665,0.18244393795071887,19.93783162463817,1.9117382066532718e-88,3.7068041551063805e-86,EPHA10,protein_coding,Up
ENSG00000227036,1076.7494201174295,3.0897077332277347,0.15503862426713677,19.92863228652019,2.2975529870132338e-88,4.4223702385064946e-86,LINC00511,lncRNA,Up
